latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.0611,54.3189,304,2,1.4,2021-01-03,1812,Terra,MODIS,58,6.03,283.9,23.1,N,0
24.069,54.3169,305,1,1,2021-01-14,2215,Aqua,MODIS,63,6.03,281.6,10,N,0
24.0675,54.3267,311.7,1,1,2021-01-14,2215,Aqua,MODIS,83,6.03,283.5,14.7,N,0
23.5511,53.3241,328.8,1.2,1.1,2021-01-16,2203,Aqua,MODIS,100,6.03,282.3,42,N,0
23.5532,53.3176,304.3,1.3,1.1,2021-01-16,2203,Aqua,MODIS,59,6.03,281.4,12.9,N,2
23.5344,53.2969,304.8,1.3,1.1,2021-01-16,2203,Aqua,MODIS,62,6.03,282.1,13.7,N,0
23.5517,53.3298,322,1.2,1.1,2021-01-16,2203,Aqua,MODIS,100,6.03,281.8,32.3,N,0
24.0609,54.3231,332.9,1,1,2021-01-21,0703,Terra,MODIS,84,6.03,300.4,27,D,0
24.1213,52.6981,302.3,1.1,1.1,2021-01-23,2209,Aqua,MODIS,48,6.03,288,7.1,N,0
24.1168,52.747,311.8,1.3,1.1,2021-01-24,1830,Terra,MODIS,83,6.03,288.6,17.5,N,0
24.131,52.6959,314.6,1.2,1.1,2021-02-08,1001,Aqua,MODIS,48,6.03,299.4,6.3,D,0
22.9067,53.9519,315.3,1.1,1.1,2021-02-25,1829,Terra,MODIS,91,6.03,292.1,17.8,N,0
22.9072,53.9595,300.1,2.8,1.6,2021-02-26,1912,Terra,MODIS,15,6.03,284.7,32.7,N,0
22.9088,53.954,328.2,1.1,1,2021-03-08,0715,Terra,MODIS,69,6.03,308.7,12.1,D,0
23.3109,54.1697,309.6,1.4,1.2,2021-03-09,1854,Terra,MODIS,78,6.03,292.1,16.3,N,0
23.3125,54.1833,309.8,1.4,1.2,2021-03-09,1854,Terra,MODIS,78,6.03,291.2,16.5,N,0
22.9089,53.9556,305.7,1.3,1.1,2021-03-09,1854,Terra,MODIS,65,6.03,294.2,11,N,0
22.9106,53.9423,304.7,1,1,2021-03-11,1842,Terra,MODIS,61,6.03,294,6.1,N,0
22.9119,53.952,318.8,1,1,2021-03-11,1842,Terra,MODIS,97,6.03,295.9,16.8,N,0
24.1382,52.6956,308.2,1.1,1.1,2021-03-17,2228,Aqua,MODIS,74,6.03,292.9,8.8,N,0
24.1364,52.7063,302.3,1.1,1.1,2021-03-17,2228,Aqua,MODIS,46,6.03,291.4,4.6,N,0
23.3102,54.1812,309.3,1.1,1.1,2021-03-21,2203,Aqua,MODIS,77,6.03,287.6,13.4,N,0
24.1338,52.6986,310.8,1.6,1.2,2021-03-22,1823,Terra,MODIS,81,6.03,293.1,16.7,N,0
24.1335,52.7043,316.4,1.6,1.2,2021-03-22,1823,Terra,MODIS,93,6.03,293,26.3,N,0
24.1366,52.7139,305.6,1.6,1.2,2021-03-22,1823,Terra,MODIS,65,6.03,293.1,9.7,N,2
24.133,52.7178,308.1,2.1,1.4,2021-03-22,2246,Aqua,MODIS,74,6.03,290.8,27.3,N,2
24.1282,52.7034,302.7,1.8,1.3,2021-03-23,1906,Terra,MODIS,51,6.03,292.2,10.5,N,0
22.9077,53.954,309.6,1.8,1.3,2021-03-23,2151,Aqua,MODIS,78,6.03,291.5,23.5,N,0
22.9143,53.9618,307.4,1.8,1.3,2021-03-23,2151,Aqua,MODIS,71,6.03,292.7,21.4,N,0
22.9099,53.9548,336.6,1.1,1.1,2021-04-01,0936,Aqua,MODIS,73,6.03,324.6,8.8,D,0
25.5531,56.2336,307.1,2.9,1.6,2021-04-04,1753,Terra,MODIS,61,6.03,295.3,24.6,N,0
25.5592,56.2631,308.6,2.9,1.6,2021-04-04,1753,Terra,MODIS,68,6.03,296.2,27.7,N,0
25.5474,56.2635,306.5,1.1,1.1,2021-04-04,2215,Aqua,MODIS,46,6.03,295,6.2,N,0
