latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.562,-0.5977,303.5,1.3,1.1,2021-01-09,1314,Aqua,MODIS,56,6.03,274.8,14,D,2
56.0019,-3.6851,300.8,1,1,2021-01-12,0232,Aqua,MODIS,34,6.03,271.2,10,N,2
53.5681,-0.599,304.5,1.3,1.1,2021-01-22,1056,Terra,MODIS,51,6.03,276.3,14.5,D,2
53.5656,-0.5938,304.5,1,1,2021-01-24,2156,Terra,MODIS,60,6.03,270.4,12.9,N,2
53.5714,-0.5888,305.9,1.2,1.1,2021-01-25,0202,Aqua,MODIS,66,6.03,269.5,18.1,N,2
51.5685,-3.7663,300.5,1.6,1.2,2021-01-25,0203,Aqua,MODIS,28,6.03,273.1,18.8,N,2
53.5649,-0.6012,312.7,1.3,1.1,2021-01-25,1314,Aqua,MODIS,69,6.03,276.7,23.2,D,2
53.5598,-0.607,305.3,1.5,1.2,2021-02-01,1320,Aqua,MODIS,61,6.03,277.9,18.6,D,2
50.9783,-3.6497,343.9,1,1,2021-02-10,1127,Terra,MODIS,88,6.03,273.9,55.2,D,0
57.2936,-6.4454,354.9,1,1,2021-02-10,1316,Aqua,MODIS,74,6.03,277.7,78.5,D,0
57.4315,-7.282,315.4,1,1,2021-02-10,1316,Aqua,MODIS,60,6.03,274.5,18,D,0
57.4528,-7.3171,314.3,1.6,1.2,2021-02-10,2240,Terra,MODIS,85,6.03,270.9,35.8,N,0
57.4681,-7.302,345.3,1.1,1,2021-02-11,0244,Aqua,MODIS,100,6.03,273.7,62.9,N,0
57.8367,-5.5224,306.1,1.1,1,2021-02-11,2145,Terra,MODIS,24,6.03,270,13,N,0
57.8424,-5.5458,320.7,1.1,1,2021-02-11,2145,Terra,MODIS,95,6.03,271.5,25.8,N,0
57.8495,-5.5038,328.3,1.6,1.3,2021-02-12,0327,Aqua,MODIS,100,6.03,272.1,67.2,N,0
57.8552,-5.5288,320.3,1.6,1.3,2021-02-12,0327,Aqua,MODIS,100,6.03,271.7,48.9,N,0
57.8449,-5.5378,311.1,1.6,1.3,2021-02-12,0327,Aqua,MODIS,73,6.03,269.1,33,N,0
56.0069,-3.687,302.6,1.2,1.1,2021-02-14,2215,Terra,MODIS,50,6.03,274.4,13,N,2
51.5745,-3.7713,318.1,1.1,1,2021-02-15,0221,Aqua,MODIS,96,6.03,276.2,22.9,N,2
53.5686,-0.5979,300,1.1,1,2021-02-20,2137,Terra,MODIS,9,6.03,277.6,7.9,N,2
57.3689,-3.3128,313.8,1.1,1.1,2021-02-22,1150,Terra,MODIS,74,6.03,280.2,19.1,D,0
51.5717,-3.7686,300.9,1.4,1.2,2021-02-22,1151,Terra,MODIS,0,6.03,285.2,11.6,D,2
55.818,-6.3011,302.2,1.4,1.2,2021-02-22,1340,Aqua,MODIS,48,6.03,281.3,13.1,D,0
53.5662,-0.5992,305.1,1.7,1.3,2021-02-25,1043,Terra,MODIS,53,6.03,283.1,19.3,D,2
57.4168,-3.5162,309,1.3,1.1,2021-02-25,1233,Aqua,MODIS,68,6.03,279.8,18.2,D,0
51.5774,-3.773,300.5,1,1,2021-02-25,2155,Terra,MODIS,28,6.03,275.8,9.1,N,2
53.5707,-0.5922,300.1,1.2,1.1,2021-02-26,0202,Aqua,MODIS,16,6.03,274.2,11.6,N,2
56.9159,-2.9225,307.2,1,1,2021-02-26,1125,Terra,MODIS,61,6.03,282,10.8,D,0
56.9827,-2.7988,301,1,1,2021-02-26,1125,Terra,MODIS,44,6.03,281.8,7.6,D,0
57.355,-3.0082,301,1,1,2021-02-26,1125,Terra,MODIS,43,6.03,282.1,7,D,0
53.5707,-0.5974,300.8,1.1,1,2021-02-26,1126,Terra,MODIS,36,6.03,283.5,6.8,D,2
