latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0.1937,-176.4792,319.6,1,1,2021-03-07,0121,Aqua,MODIS,71,6.03,304.7,12.8,D,3
-0.3784,-160.0129,310.8,1.2,1.1,2021-03-24,0026,Aqua,MODIS,38,6.03,299.5,9,D,3
0.1931,-176.4764,312.5,1.3,1.1,2021-04-22,0134,Aqua,MODIS,54,6.03,297,11.3,D,3
16.7229,-169.5425,313.6,1.2,1.1,2021-05-07,0055,Aqua,MODIS,34,6.03,301.5,11,D,3
16.7246,-169.5367,314.9,1.2,1.1,2021-05-07,0055,Aqua,MODIS,51,6.03,302.2,12.5,D,3
16.7229,-169.5403,310.5,1.5,1.2,2021-05-14,0101,Aqua,MODIS,39,6.03,299.5,13.8,D,3
28.202,-177.3817,310.1,2.2,1.4,2021-06-02,0135,Aqua,MODIS,29,6.03,299.3,24.4,D,3
16.7294,-169.5348,311.2,1.5,1.2,2021-07-01,0101,Aqua,MODIS,47,6.03,299.9,13.2,D,3
16.7263,-169.5349,312.3,1.1,1.1,2021-07-09,2147,Terra,MODIS,49,6.03,299.8,8.3,D,3
16.7289,-169.5335,310.4,1.2,1.1,2021-09-28,0055,Aqua,MODIS,38,6.03,297.8,7.8,D,3
0.1917,-176.4806,315,1.3,1.1,2021-10-15,0134,Aqua,MODIS,63,6.03,303.4,15.4,D,3
0.1917,-176.4812,310.8,1.6,1.2,2021-12-31,0104,Aqua,MODIS,44,6.03,295.8,12.9,D,3
