latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.8457,-53.6824,326.6,2.8,1.6,2021-01-01,1419,Terra,MODIS,75,6.03,294.1,86.2,D,0
-33.8572,-53.6907,343,2.5,1.5,2021-01-01,1658,Aqua,MODIS,90,6.03,299.3,157.7,D,0
-33.8433,-53.6922,326.3,2.5,1.5,2021-01-01,1658,Aqua,MODIS,74,6.03,298.5,62.4,D,0
-33.8506,-53.7083,303.1,1,1,2021-01-02,0222,Terra,MODIS,51,6.03,285,7.3,N,0
-33.8491,-53.6973,334.3,1,1,2021-01-02,0222,Terra,MODIS,100,6.03,286.5,37.6,N,0
-33.85,-53.7112,321.9,1.4,1.2,2021-01-02,1324,Terra,MODIS,52,6.03,297.8,17.8,D,0
-33.8528,-53.6963,326.9,1.4,1.2,2021-01-02,1324,Terra,MODIS,73,6.03,302.7,25.7,D,0
-33.8538,-53.7123,347.4,1.1,1,2021-01-02,1741,Aqua,MODIS,91,6.03,307.9,50.6,D,0
-31.7193,-55.9825,318.9,1.2,1.1,2021-01-03,1406,Terra,MODIS,51,6.03,304.3,9,D,2
-34.1152,-56.9858,326.4,1.2,1.1,2021-01-03,1407,Terra,MODIS,70,6.03,311.1,13.4,D,0
-33.3591,-54.3471,328.2,1,1,2021-01-07,1342,Terra,MODIS,77,6.03,304.7,16.2,D,0
-33.1648,-58.2417,338,1.1,1.1,2021-01-07,1759,Aqua,MODIS,82,6.03,315.9,23.1,D,0
-30.3176,-57.572,338.5,3.3,1.7,2021-01-08,1705,Aqua,MODIS,82,6.03,306.2,171.7,D,0
-30.302,-57.5735,319.9,3.3,1.7,2021-01-08,1705,Aqua,MODIS,47,6.03,305.7,39.9,D,0
-30.3075,-57.5772,343.1,3.3,1.7,2021-01-08,1705,Aqua,MODIS,68,6.03,306.4,220.2,D,0
-34.149,-57.7115,325.3,1.2,1.1,2021-01-09,0229,Terra,MODIS,100,6.03,283.4,34.8,N,0
-34.1475,-57.6981,303.9,1.2,1.1,2021-01-09,0229,Terra,MODIS,39,6.03,277.9,10.8,N,0
-31.7171,-55.9805,320.8,1.5,1.2,2021-01-10,1412,Terra,MODIS,38,6.03,304.3,11.1,D,2
-33.234,-54.3811,319.5,1.2,1.1,2021-01-13,1722,Aqua,MODIS,62,6.03,304.7,8.2,D,2
-34.7955,-54.9234,318.6,1.3,1.1,2021-01-13,1722,Aqua,MODIS,48,6.03,304.9,10.5,D,2
-33.2355,-54.3937,319.6,1.2,1.1,2021-01-13,1722,Aqua,MODIS,59,6.03,304.7,8.4,D,2
-34.3789,-55.2447,320.4,1.3,1.1,2021-01-13,1722,Aqua,MODIS,38,6.03,305.4,8.6,D,2
-34.3753,-55.2388,320.8,1.3,1.1,2021-01-13,1722,Aqua,MODIS,40,6.03,305.5,9.1,D,2
-32.3755,-54.1721,322.8,1.1,1.1,2021-01-13,1723,Aqua,MODIS,56,6.03,305.2,11.3,D,2
-33.2299,-54.3812,314.1,1,1,2021-01-14,1348,Terra,MODIS,39,6.03,301.6,3.9,D,2
-32.3698,-54.1634,315,1,1,2021-01-14,1348,Terra,MODIS,35,6.03,301.5,4.3,D,2
-34.4772,-54.3341,315.5,1,1,2021-01-14,1349,Terra,MODIS,29,6.03,303.2,3,D,2
-31.7202,-55.9859,317,1.2,1.1,2021-01-19,1406,Terra,MODIS,42,6.03,304.3,8.8,D,2
