latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.4671,58.4965,311.7,1.3,1.1,2021-01-03,0852,Aqua,MODIS,0,6.03,270.6,23.2,D,0
42.7679,59.3532,303.9,1,1,2021-01-08,0910,Aqua,MODIS,57,6.03,275.5,9.4,D,0
43.5898,59.966,300.8,3.3,1.7,2021-01-09,0816,Aqua,MODIS,41,6.03,272.6,41.6,D,0
43.6043,59.9587,329.3,3.3,1.7,2021-01-09,0816,Aqua,MODIS,86,6.03,274.3,178.1,D,0
43.6143,59.9969,309.3,3.3,1.7,2021-01-09,0816,Aqua,MODIS,68,6.03,272.9,70,D,0
43.4935,59.8002,310.6,1.2,1.1,2021-01-10,0716,Terra,MODIS,70,6.03,276.2,18.4,D,0
43.4958,59.8063,360.6,1,1,2021-01-10,0858,Aqua,MODIS,100,6.03,279.6,96,D,0
41.9084,61.2444,301.1,1,1,2021-01-10,0858,Aqua,MODIS,44,6.03,281.8,6.3,D,0
43.4938,59.7937,349.2,1,1,2021-01-10,0858,Aqua,MODIS,96,6.03,278.8,67.4,D,0
43.4849,59.7964,335.5,1,1,2021-01-10,0858,Aqua,MODIS,90,6.03,280,41.8,D,0
43.4868,59.809,353.4,1,1,2021-01-10,0858,Aqua,MODIS,97,6.03,280.6,77,D,0
41.515,69.5329,304.3,1,1,2021-01-11,0621,Terra,MODIS,58,6.03,282.5,7.7,D,0
40.4918,63.3242,324.3,1.5,1.2,2021-01-11,0622,Terra,MODIS,83,6.03,280.6,46.4,D,0
40.8699,69.5268,301,1.7,1.3,2021-01-11,0802,Aqua,MODIS,38,6.03,278.4,16.3,D,2
40.8615,69.5379,307.6,1,1,2021-01-11,1727,Terra,MODIS,72,6.03,270.9,13.8,N,2
37.4271,66.7147,305.2,1.1,1.1,2021-01-14,0832,Aqua,MODIS,60,6.03,290.6,6.6,D,0
40.8532,69.5417,306.2,1,1,2021-01-14,0833,Aqua,MODIS,63,6.03,284.5,9,D,2
40.8645,69.5352,301.2,1.5,1.2,2021-01-15,0557,Terra,MODIS,45,6.03,283.2,11.4,D,2
