latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.5237,169.4558,338.1,1,1,2021-01-16,1401,Aqua,MODIS,100,6.03,281.4,42,N,1
-19.5338,169.4417,333.6,1.3,1.1,2021-01-17,1136,Terra,MODIS,100,6.03,285.5,48,N,1
-19.5319,169.4532,334.9,1.3,1.1,2021-01-17,1136,Terra,MODIS,100,6.03,284.7,50.1,N,1
-19.5218,169.4519,307.1,1.3,1.1,2021-01-17,1136,Terra,MODIS,52,6.03,285.4,11.2,N,1
-19.5326,169.4482,333.9,1,1,2021-01-19,1124,Terra,MODIS,100,6.03,288.8,34.1,N,1
-19.5237,169.4467,323.1,1,1,2021-01-19,1124,Terra,MODIS,100,6.03,290.1,20.2,N,1
-19.532,169.4479,308.6,1,1,2021-02-04,1124,Terra,MODIS,62,6.03,290.6,7.5,N,1
-19.5329,169.4428,307.8,1.2,1.1,2021-02-06,1112,Terra,MODIS,57,6.03,293.3,9.1,N,1
-19.5313,169.4413,306.3,1,1,2021-02-13,1118,Terra,MODIS,43,6.03,292.1,6.8,N,1
-19.53,169.4515,313.8,1,1,2021-02-13,1118,Terra,MODIS,83,6.03,292.4,12.4,N,1
-19.5237,169.4542,306.7,1,1,2021-02-17,1401,Aqua,MODIS,48,6.03,284.8,8.5,N,1
-19.5286,169.4479,314.2,1,1,2021-02-23,0230,Aqua,MODIS,50,6.03,294.7,6.8,D,1
-19.5226,169.4496,316.2,1,1,2021-02-24,1407,Aqua,MODIS,90,6.03,292.8,13.5,N,1
-19.5271,169.4489,314.3,1.1,1,2021-02-27,1130,Terra,MODIS,85,6.03,293,13.4,N,1
-19.5276,169.4473,313.8,1,1,2021-03-01,1117,Terra,MODIS,83,6.03,293.9,11.7,N,1
-19.5344,169.445,310.4,1.1,1,2021-03-02,0236,Aqua,MODIS,21,6.03,289.9,5.2,D,1
-19.5286,169.4494,333.4,1,1,2021-03-02,2254,Terra,MODIS,65,6.03,296.5,29.3,D,1
-19.5273,169.4542,313.6,1.5,1.2,2021-03-07,1348,Aqua,MODIS,83,6.03,290.3,20.3,N,1
-19.5254,169.4612,305.5,1.5,1.2,2021-03-07,1348,Aqua,MODIS,33,6.03,289.3,11.3,N,1
