latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.3456,46.8225,300.8,1.1,1.1,2021-01-02,1905,Terra,MODIS,34,6.03,287.8,6.9,N,2
15.5792,45.8007,320.1,1.6,1.2,2021-01-05,1936,Terra,MODIS,100,6.03,284.9,42.5,N,2
13.9859,45.7587,323.2,1,1,2021-01-10,1029,Aqua,MODIS,68,6.03,302.3,11.8,D,0
13.9845,45.7492,324.1,1,1,2021-01-10,1029,Aqua,MODIS,70,6.03,301.6,12.7,D,0
15.5726,45.8004,327.2,1,1,2021-01-12,1017,Aqua,MODIS,71,6.03,308.3,9.8,D,2
15.7316,44.562,325,1.2,1.1,2021-01-17,0730,Terra,MODIS,69,6.03,300,20.1,D,0
15.3396,46.8212,301.1,1,1,2021-01-25,1911,Terra,MODIS,38,6.03,282.3,7.6,N,2
15.3409,46.8221,302,1.3,1.1,2021-01-27,1859,Terra,MODIS,46,6.03,285.8,11.3,N,2
15.5748,45.7972,337.6,1.1,1,2021-01-28,1017,Aqua,MODIS,79,6.03,320.5,15.9,D,2
15.5746,45.8067,303.4,1.2,1.1,2021-01-28,2230,Aqua,MODIS,55,6.03,284.3,11.6,N,2
13.4234,43.2806,322.5,1.3,1.1,2021-02-02,0731,Terra,MODIS,46,6.03,305.8,8.9,D,0
15.8243,45.8369,300.1,1.1,1,2021-02-02,2248,Aqua,MODIS,14,6.03,283,7.9,N,0
15.3431,46.8211,300.3,1,1,2021-02-10,1911,Terra,MODIS,23,6.03,286.6,6.1,N,2
14.3634,44.4902,327.9,1.2,1.1,2021-02-13,1017,Aqua,MODIS,67,6.03,312.3,14.7,D,0
15.3419,46.821,304.4,1,1,2021-02-17,1917,Terra,MODIS,60,6.03,292.3,6.8,N,2
15.3411,46.8219,304.1,1,1,2021-03-05,1917,Terra,MODIS,58,6.03,292.2,6.6,N,2
13.8609,44.1801,322.2,1.2,1.1,2021-03-06,0730,Terra,MODIS,47,6.03,307.4,8,D,0
13.8009,45.8975,332.6,1.3,1.1,2021-03-10,1011,Aqua,MODIS,56,6.03,321.3,13.3,D,0
16.8241,43.2255,328.3,1,1,2021-03-11,0748,Terra,MODIS,63,6.03,313.1,9.9,D,0
15.3404,46.8206,303.7,1,1,2021-03-14,1910,Terra,MODIS,56,6.03,292.4,6,N,2
16.9828,43.2339,328.9,1.3,1.2,2021-03-17,1018,Aqua,MODIS,43,6.03,305.2,23.8,D,0
15.3415,46.8228,304.6,1.1,1.1,2021-03-23,1904,Terra,MODIS,61,6.03,293.6,7.2,N,2
15.8248,45.8367,312.7,1,1,2021-03-24,2236,Aqua,MODIS,85,6.03,289.4,14.4,N,0
15.8177,45.8293,304.9,1.6,1.2,2021-03-26,1935,Terra,MODIS,62,6.03,291.5,15.2,N,0
15.3431,46.8201,305.1,1.2,1.1,2021-03-28,1922,Terra,MODIS,63,6.03,293.6,8,N,2
15.8166,45.8359,311.5,1.1,1,2021-03-28,1923,Terra,MODIS,83,6.03,291.7,13.3,N,0
15.3453,46.8188,304.1,1,1,2021-03-30,1910,Terra,MODIS,59,6.03,292,6.1,N,2
13.7624,45.2328,302.1,1.2,1.1,2021-03-30,1910,Terra,MODIS,44,6.03,290.8,5.8,N,0
13.3671,45.2805,331.6,1,1,2021-03-31,1029,Aqua,MODIS,52,6.03,318.6,8.8,D,0
15.8223,45.8402,301,1,1,2021-03-31,2242,Aqua,MODIS,36,6.03,288.2,6.4,N,0
12.6562,43.4309,313.6,2.7,1.6,2021-04-02,0712,Terra,MODIS,33,6.03,303.1,35,D,3
12.6592,43.4061,314.4,2.7,1.6,2021-04-02,0712,Terra,MODIS,61,6.03,303.5,40.5,D,3
15.8196,45.8373,300.3,1.2,1.1,2021-04-02,2230,Aqua,MODIS,24,6.03,288.2,8,N,0
15.3452,46.824,302.3,1.1,1,2021-04-02,2230,Aqua,MODIS,48,6.03,289.9,6.8,N,2
15.8178,45.8302,303.2,1.3,1.1,2021-04-04,1929,Terra,MODIS,54,6.03,291.2,9.3,N,0
15.3447,46.8202,306.4,1,1,2021-04-06,1916,Terra,MODIS,68,6.03,291.8,8,N,2
15.3487,46.8277,300.2,1.2,1.1,2021-04-07,2249,Aqua,MODIS,22,6.03,289.2,7.4,N,2
15.3424,46.822,302,1.1,1.1,2021-04-08,1904,Terra,MODIS,46,6.03,291.5,5.2,N,2
15.8174,45.8325,302.3,1.2,1.1,2021-04-08,1904,Terra,MODIS,48,6.03,283.2,9.6,N,0
15.8228,45.8354,300.6,1,1,2021-04-09,2236,Aqua,MODIS,30,6.03,288.9,6.2,N,0
15.8152,45.8369,307,2,1.4,2021-04-10,1852,Terra,MODIS,70,6.03,293.6,19.9,N,0
15.8181,45.8307,308.2,2,1.4,2021-04-10,1852,Terra,MODIS,74,6.03,293.6,23.5,N,0
15.8206,45.8307,310,1.6,1.3,2021-04-11,1935,Terra,MODIS,79,6.03,293.2,19.8,N,0
15.8242,45.8371,309.3,1.5,1.2,2021-04-11,2224,Aqua,MODIS,77,6.03,292,18.6,N,0
13.4239,44.3239,305.1,1.2,1.1,2021-04-14,2255,Aqua,MODIS,63,6.03,291.9,7.7,N,0
15.8194,45.8367,310.1,1,1,2021-04-16,2242,Aqua,MODIS,79,6.03,292.2,10.7,N,0
